gene,n_sequences,alignment_length,conservation_score,sequences_removed
rpmJ_aligned,8592,117,0.999972,7
infA_aligned,8594,219,0.99997,7
rpsU_aligned,8596,177,0.999921,7
rplQ_aligned,8596,390,0.999852,7
rplE_aligned,8592,540,0.99983,7
rpsK_aligned,8594,390,0.999824,7
rpmH_aligned,8594,135,0.999798,6
rplN_aligned,8589,369,0.99979,7
rpsS_aligned,8592,279,0.999754,7
rpsO_aligned,8596,270,0.999717,7
rpmB_aligned,8594,189,0.999701,7
rpsL_aligned,8596,414,0.999654,7
rpsZ_aligned,8592,186,0.999626,7
hup_aligned,8592,276,0.999607,7
rpsM_aligned,8595,366,0.999595,7
rpmC_aligned,8592,189,0.999556,7
ykuJ_aligned,8591,231,0.999534,7
rpsE_aligned,8594,501,0.999522,7
ptsH_aligned,8596,267,0.999505,7
rpsG_aligned,8595,471,0.999495,7
rpmI_aligned,8595,201,0.999484,7
rpmG3_aligned,8595,153,0.99948,7
rplV_aligned,8593,405,0.999455,7
infC_aligned,8596,522,0.999448,7
rpsT_aligned,8596,261,0.999424,7
rplW_aligned,8592,291,0.999329,7
rplX_aligned,8590,312,0.999309,7
rpsP_aligned,8596,285,0.999222,7
rplP_aligned,8593,435,0.99917,7
secE_aligned,8594,171,0.999081,7
acpP_aligned,8593,261,0.999069,0
rplC_aligned,8592,630,0.99886,7
rplR_aligned,8594,357,0.998804,7
rplF_aligned,8591,537,0.998771,7
veg_aligned,8596,252,0.998742,7
rplT_aligned,8596,363,0.998727,7
nrdH_aligned,8578,225,0.998694,7
tuf_aligned,8594,1188,0.998683,7
rpsJ_aligned,8593,309,0.998658,7
rplM_aligned,8592,444,0.998657,7
rpoA_aligned,8596,939,0.998633,7
rplU_aligned,8595,357,0.998598,7
fusA_aligned,8596,2082,0.998528,7
rpsQ_aligned,8588,267,0.998524,7
rpsF_aligned,8595,318,0.998439,6
hpf_aligned,8595,570,0.998392,7
rplA_aligned,8595,705,0.998388,7
atpF_aligned,8596,531,0.998388,0
rplB_aligned,8594,831,0.998346,7
rnc_aligned,8594,693,0.998257,7
rplO_aligned,8594,441,0.998233,7
rplL_aligned,8595,369,0.9982,7
rpsH_aligned,8591,399,0.998128,7
rpmD_aligned,8594,180,0.998098,7
yqgQ_aligned,8592,219,0.998087,7
secG_aligned,8596,237,0.998044,7
rplD_aligned,8592,624,0.997875,7
rimP_aligned,8596,474,0.997822,7
rpsD_aligned,8595,612,0.997801,7
ypjD_aligned,8596,351,0.9978,7
srlB_aligned,8576,405,0.997636,7
groS_aligned,8594,339,0.997572,7
perR_aligned,8594,444,0.997567,7
rplK_aligned,8595,423,0.997564,7
pdhB_aligned,8595,978,0.997514,7
zapA_aligned,8595,463,0.997495,7
ctsR_aligned,8591,468,0.997336,7
hpt_aligned,8596,546,0.997315,7
ntpG_aligned,8596,312,0.997279,7
ssrA_aligned,8593,393,0.997251,7
nusG_aligned,8592,552,0.997173,7
rny_aligned,8594,1557,0.997168,7
rpsC_aligned,8592,673,0.99716,7
rplJ_aligned,8595,501,0.997152,7
yidD_aligned,8592,330,0.997136,7
atpH_aligned,8594,543,0.99706,0
tsf_aligned,8596,903,0.997037,7
pyk_aligned,8595,1758,0.996979,7
psiE_aligned,8595,489,0.996936,7
ftsA_aligned,8583,1323,0.99693,7
nrdR_aligned,8593,483,0.996887,7
yodB_aligned,8590,345,0.996868,7
rpoE_aligned,8595,711,0.996777,7
darA_aligned,8595,330,0.996614,7
pdhA_aligned,8595,1116,0.996557,7
hrcA_aligned,8596,1057,0.996548,7
secY_aligned,8595,1299,0.996543,7
rplGA_aligned,8596,306,0.996511,7
prs_aligned,8591,972,0.996504,7
rnpA_aligned,8595,405,0.996502,6
mioC_aligned,8591,459,0.996326,7
atpD_aligned,8594,1407,0.996314,0
tdk_aligned,8591,585,0.996223,7
pfkA_aligned,8596,963,0.996136,7
pgk_aligned,8595,1194,0.996096,7
yibN_aligned,8595,402,0.996062,7
purA_aligned,8595,1293,0.996055,6
acpA_aligned,8595,228,0.996047,0
fba_aligned,8595,870,0.996016,7
cspD_aligned,8591,208,0.995939,7
citD_aligned,8595,309,0.995929,6
ymcA_aligned,8591,372,0.995919,7
pdhD_aligned,8576,1407,0.995893,7
eno_aligned,8594,1340,0.995844,7
nrdI_aligned,8588,616,0.995835,7
luxS_aligned,8595,459,0.995779,7
rpsB_aligned,8596,786,0.995755,7
tig_aligned,8596,1284,0.995749,7
cshA_aligned,8594,1623,0.995741,7
arlR_aligned,8209,702,0.995729,0
yidC_aligned,8590,934,0.995667,7
yqeY_aligned,8596,573,0.995643,7
divIVA_aligned,8595,703,0.995639,7
sigA_aligned,8595,1236,0.995572,7
purS_aligned,8500,252,0.995533,7
nrdF2_aligned,8574,966,0.995512,7
trxA_aligned,8582,315,0.995459,7
ptsI_aligned,8595,1836,0.995455,7
tpiA_aligned,8592,756,0.995451,7
sepF_aligned,8594,647,0.995411,7
pgsA_aligned,8592,1275,0.995356,7
rpmA_aligned,8593,294,0.99534,7
ftsE_aligned,8178,687,0.995321,7
atpG_aligned,8595,909,0.995312,0
aguA_aligned,8426,2473,0.995278,0
dltC_aligned,8590,237,0.995224,7
xseB_aligned,8596,231,0.995211,7
greA_aligned,8594,626,0.995164,7
pflB_aligned,8595,2260,0.995107,7
yabA_aligned,8595,348,0.995069,7
tgt_aligned,8596,1146,0.995036,7
clpX_aligned,8596,1308,0.995028,7
rbfA_aligned,8596,351,0.995013,7
puuR_aligned,8596,543,0.994956,7
purR_aligned,8525,924,0.994927,7
opuCB_aligned,8582,639,0.994918,7
ccmL_aligned,8588,264,0.99489,7
ccpN_aligned,8596,633,0.994824,7
upp_aligned,8596,630,0.994782,7
grpE_aligned,8595,609,0.994781,7
rpsR_aligned,8593,240,0.994779,6
efp_aligned,8595,585,0.994767,7
dnaN_aligned,8572,1131,0.994734,6
rsgA_aligned,8591,894,0.994728,7
mntR_aligned,8585,669,0.994722,7
nusB_aligned,8596,453,0.994669,7
gltX_aligned,8507,1458,0.994627,7
pyrB_aligned,8596,1068,0.994593,7
yuaF_aligned,8595,543,0.994534,7
nox_aligned,8581,1347,0.994522,7
atpB_aligned,8594,720,0.994519,0
rpoC_aligned,8593,3669,0.994457,7
ypfD_aligned,8596,1248,0.994356,7
rpoB_aligned,8593,3723,0.994333,7
dnaA_aligned,8545,1344,0.994245,6
ybeY_aligned,8596,480,0.994218,7
gnd_aligned,8594,1422,0.994209,7
coaA_aligned,8595,924,0.994201,7
phoU_aligned,8596,678,0.994185,7
cdd_aligned,8596,441,0.994098,7
pcp_aligned,8591,651,0.994073,7
yhbY_aligned,8592,312,0.994012,7
recA_aligned,8579,1047,0.994011,7
pyrH_aligned,8596,726,0.993997,7
xpt_aligned,8592,582,0.993969,7
dnaJ_aligned,8585,1176,0.993963,7
folD_aligned,8595,852,0.993963,7
