gene,count,prevalence,product
nusA,8603,1.0,Transcription termination/antitermination protein NusA
infC,8603,1.0,Translation initiation factor IF-3
mraY,8603,1.0,Phospho-N-acetylmuramoyl-pentapeptide-transferase
gpmA_2,8603,1.0,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
murT,8603,1.0,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
secA,8603,1.0,Protein translocase subunit SecA
peb1A,8603,1.0,Major cell-binding factor
btuD_4,8603,1.0,Vitamin B12 import ATP-binding protein BtuD
coaBC_2,8603,1.0,Coenzyme A biosynthesis bifunctional protein CoaBC
iscS_2,8603,1.0,Cysteine desulfurase IscS
mhqA_3,8603,1.0,Putative ring-cleaving dioxygenase MhqA
mraZ,8603,1.0,Transcriptional regulator MraZ
clpX,8603,1.0,ATP-dependent Clp protease ATP-binding subunit ClpX
murF,8603,1.0,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
ntpK,8603,1.0,V-type sodium ATPase subunit K
zwf,8603,1.0,Glucose-6-phosphate 1-dehydrogenase
fabD,8603,1.0,Malonyl CoA-acyl carrier protein transacylase
pyrH,8603,1.0,Uridylate kinase
manZ_2,8603,1.0,PTS system mannose-specific EIID component
accC,8603,1.0,Biotin carboxylase
phoP_2,8603,1.0,Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
IMPDH,8603,1.0,Inosine-5'-monophosphate dehydrogenase
gpsB,8603,1.0,Cell cycle protein GpsB
gpmA_1,8603,1.0,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase"
znuB,8603,1.0,High-affinity zinc uptake system membrane protein ZnuB
phoU,8603,1.0,Phosphate-specific transport system accessory protein PhoU
hrcA,8603,1.0,Heat-inducible transcription repressor HrcA
gatD,8603,1.0,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
tmcAL,8603,1.0,tRNA(Met) cytidine acetate ligase
metQ_1,8603,1.0,D-methionine-binding lipoprotein MetQ
dgaR_1,8603,1.0,Transcriptional regulatory protein DagR
mutM,8603,1.0,Formamidopyrimidine-DNA glycosylase
rcsC_1,8603,1.0,Sensor histidine kinase RcsC
tgt,8603,1.0,Queuine tRNA-ribosyltransferase
tagU_1,8603,1.0,Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
pheS,8603,1.0,Phenylalanine--tRNA ligase alpha subunit
pyrB,8603,1.0,Aspartate carbamoyltransferase
manZ_1,8603,1.0,PTS system mannose-specific EIID component
folA,8603,1.0,Dihydrofolate reductase
scpB,8603,1.0,Segregation and condensation protein B
upp,8603,1.0,Uracil phosphoribosyltransferase
tlyA,8603,1.0,Hemolysin A
nadD,8603,1.0,Nicotinate-nucleotide adenylyltransferase
ychF,8603,1.0,Ribosome-binding ATPase YchF
dgkA,8603,1.0,Undecaprenol kinase
ftsZ,8603,1.0,Cell division protein FtsZ
fpuD,8603,1.0,Petrobactin import ATP-binding protein FpuD
ybbH_3,8603,1.0,putative HTH-type transcriptional regulator YbbH
murJ_1,8603,1.0,Lipid II flippase MurJ
btuD_5,8603,1.0,Vitamin B12 import ATP-binding protein BtuD
btuD_2,8603,1.0,Vitamin B12 import ATP-binding protein BtuD
ccpA_2,8603,1.0,Catabolite control protein A
rpsO,8603,1.0,30S ribosomal protein S15
manZ_4,8603,1.0,PTS system mannose-specific EIID component
manX_1,8603,1.0,PTS system mannose-specific EIIAB component
proC_2,8603,1.0,Pyrroline-5-carboxylate reductase
cspLA_2,8603,1.0,Cold shock-like protein CspLA
scpA,8603,1.0,Segregation and condensation protein A
pdxK_1,8603,1.0,Pyridoxine kinase
dnaE,8603,1.0,DNA polymerase III subunit alpha
nusB,8603,1.0,Transcription antitermination protein NusB
rpoA,8603,1.0,DNA-directed RNA polymerase subunit alpha
