gene,gene_type,n_sequences,alignment_length,variable_sites,variation_rate_percent,codon_variable_sites,codon_syn_sites,codon_nonsyn_sites,syn_fraction,nonsyn_fraction,pN_pS_site,npN_pS,nonsyn_syn_ratio,normalized_selection,selection_category
ptsA,operon,8276,462,76,16.450216450216452,60,27,33,0.45,0.55,1.2222222222222223,0.48888888888888893,1.2222222222222223,0.48888888888888893,Moderate purifying
ptsC,operon,8273,789,171,21.673003802281368,126,45,81,0.35714285714285715,0.6428571428571429,1.8,0.72,1.8,0.72,Near neutral
glpC,operon,8276,1074,239,22.253258845437614,181,56,125,0.30939226519337015,0.6906077348066298,2.232142857142857,0.8928571428571429,2.232142857142857,0.8928571428571429,Near neutral
ptsB,operon,8276,469,95,20.255863539445627,71,25,46,0.352112676056338,0.647887323943662,1.84,0.736,1.84,0.736,Near neutral
ptsD,operon,8277,832,175,21.033653846153847,118,12,106,0.1016949152542373,0.8983050847457628,8.833333333333334,3.5333333333333337,8.833333333333334,3.5333333333333337,Relaxed/positive
frpC,operon,8277,1002,177,17.664670658682635,148,47,101,0.31756756756756754,0.6824324324324325,2.148936170212766,0.8595744680851064,2.148936170212766,0.8595744680851064,Near neutral
fruR,operon,8270,2774,602,21.701514059120402,423,95,328,0.22458628841607564,0.7754137115839244,3.4526315789473685,1.3810526315789473,3.4526315789473685,1.3810526315789473,Relaxed/positive
pheS,core,8603,1059,188,17.752596789423986,160,79,81,0.49375,0.50625,1.0253164556962024,0.410126582278481,1.0253164556962024,0.410126582278481,Moderate purifying
niaX,core,8603,630,129,20.476190476190474,98,39,59,0.3979591836734694,0.6020408163265306,1.5128205128205128,0.6051282051282051,1.5128205128205128,0.6051282051282051,Moderate purifying
gph_2,core,8603,1104,766,69.38405797101449,282,1,281,0.0035460992907801418,0.9964539007092199,281.0,112.4,281.0,112.4,Relaxed/positive
eutB,core,8576,1575,279,17.71428571428571,213,96,117,0.4507042253521127,0.5492957746478874,1.21875,0.4875,1.21875,0.4875,Moderate purifying
fpgS,core,8603,1335,266,19.925093632958802,209,81,128,0.3875598086124402,0.6124401913875598,1.5802469135802468,0.6320987654320988,1.5802469135802468,0.6320987654320988,Moderate purifying
mrnC,core,8601,403,57,14.1439205955335,42,11,31,0.2619047619047619,0.7380952380952381,2.8181818181818183,1.1272727272727274,2.8181818181818183,1.1272727272727274,Near neutral
ilvE,core,8559,1076,240,22.304832713754646,177,33,144,0.1864406779661017,0.8135593220338984,4.363636363636363,1.7454545454545454,4.363636363636363,1.7454545454545454,Relaxed/positive
kup,core,8514,2080,422,20.28846153846154,307,36,271,0.11726384364820847,0.8827361563517915,7.527777777777778,3.011111111111111,7.527777777777778,3.011111111111111,Relaxed/positive
prmA,core,8589,949,214,22.55005268703899,152,20,132,0.13157894736842105,0.868421052631579,6.6,2.6399999999999997,6.6,2.6399999999999997,Relaxed/positive
yjbK,core,8597,582,115,19.759450171821307,84,24,60,0.2857142857142857,0.7142857142857143,2.5,1.0,2.5,1.0,Near neutral
uvrC_1,core,8601,1829,703,38.43630399125205,384,65,319,0.16927083333333334,0.8307291666666666,4.907692307692308,1.9630769230769232,4.907692307692308,1.9630769230769232,Relaxed/positive
czrA,core,8575,288,46,15.972222222222221,39,18,21,0.46153846153846156,0.5384615384615384,1.1666666666666667,0.4666666666666667,1.1666666666666667,0.4666666666666667,Moderate purifying
ricR,core,8590,261,43,16.47509578544061,36,16,20,0.4444444444444444,0.5555555555555556,1.25,0.5,1.25,0.5,Moderate purifying
rpmA,core,8600,294,33,11.224489795918368,27,16,11,0.5925925925925926,0.4074074074074074,0.6875,0.275,0.6875,0.275,Strong purifying
yrdA,core,8602,553,172,31.103074141048825,98,8,90,0.08163265306122448,0.9183673469387755,11.25,4.5,11.25,4.5,Relaxed/positive
ackA,core,8596,1188,195,16.414141414141415,164,82,82,0.5,0.5,1.0,0.4,1.0,0.4,Moderate purifying
rpoN1,core,8597,1332,259,19.444444444444446,202,96,106,0.4752475247524752,0.5247524752475248,1.1041666666666667,0.4416666666666667,1.1041666666666667,0.4416666666666667,Moderate purifying
gcdB,core,8602,1116,251,22.491039426523297,211,166,45,0.7867298578199052,0.2132701421800948,0.2710843373493976,0.10843373493975902,0.2710843373493976,0.10843373493975902,Strong purifying
thrB,core,8598,957,183,19.122257053291534,140,70,70,0.5,0.5,1.0,0.4,1.0,0.4,Moderate purifying
sacY,core,8591,873,149,17.06758304696449,110,40,70,0.36363636363636365,0.6363636363636364,1.75,0.7,1.75,0.7,Near neutral
cysA,core,8590,1053,195,18.51851851851852,152,70,82,0.4605263157894737,0.5394736842105263,1.1714285714285715,0.4685714285714286,1.1714285714285715,0.4685714285714286,Moderate purifying
dgaR_3,core,8603,3534,2740,77.53254102999433,1045,42,1003,0.04019138755980861,0.9598086124401913,23.88095238095238,9.552380952380952,23.88095238095238,9.552380952380952,Relaxed/positive
lspA,core,8586,486,89,18.31275720164609,72,25,47,0.3472222222222222,0.6527777777777778,1.88,0.752,1.88,0.752,Near neutral
gmk_2,core,8602,671,336,50.074515648286145,173,35,138,0.2023121387283237,0.7976878612716763,3.942857142857143,1.5771428571428572,3.942857142857143,1.5771428571428572,Relaxed/positive
recD2,core,8490,3244,521,16.060419235511713,409,183,226,0.4474327628361858,0.5525672371638142,1.2349726775956285,0.4939890710382514,1.2349726775956285,0.4939890710382514,Moderate purifying
rplB,core,8601,831,84,10.108303249097473,81,56,25,0.691358024691358,0.30864197530864196,0.44642857142857145,0.17857142857142858,0.44642857142857145,0.17857142857142858,Strong purifying
yhaN,core,8601,2712,666,24.557522123893804,475,169,306,0.35578947368421054,0.6442105263157895,1.8106508875739644,0.7242603550295857,1.8106508875739644,0.7242603550295857,Near neutral
sdhA_1,core,8585,902,492,54.54545454545454,248,11,237,0.04435483870967742,0.9556451612903226,21.545454545454547,8.618181818181819,21.545454545454547,8.618181818181819,Relaxed/positive
galK_2,core,8600,1237,570,46.079223928860145,286,34,252,0.11888111888111888,0.8811188811188811,7.411764705882353,2.9647058823529413,7.411764705882353,2.9647058823529413,Relaxed/positive
pyrDA,core,8558,1155,196,16.969696969696972,153,68,85,0.4444444444444444,0.5555555555555556,1.25,0.5,1.25,0.5,Moderate purifying
moaC,core,8585,519,148,28.516377649325626,94,20,74,0.2127659574468085,0.7872340425531915,3.7,1.48,3.7,1.48,Relaxed/positive
secE,core,8601,171,18,10.526315789473683,17,8,9,0.47058823529411764,0.5294117647058824,1.125,0.45,1.125,0.45,Moderate purifying
npr_1,core,8591,1681,1097,65.2587745389649,440,19,421,0.04318181818181818,0.9568181818181818,22.157894736842106,8.863157894736842,22.157894736842106,8.863157894736842,Relaxed/positive
rpsK,core,8601,390,26,6.666666666666667,23,12,11,0.5217391304347826,0.4782608695652174,0.9166666666666666,0.36666666666666664,0.9166666666666666,0.36666666666666664,Moderate purifying
dppE_8,core,8570,1788,1621,90.6599552572707,569,11,558,0.019332161687170474,0.9806678383128296,50.72727272727273,20.29090909090909,50.72727272727273,20.29090909090909,Relaxed/positive
znuC,core,8486,693,93,13.41991341991342,83,49,34,0.5903614457831325,0.40963855421686746,0.6938775510204082,0.27755102040816326,0.6938775510204082,0.27755102040816326,Strong purifying
guaC,core,8602,979,219,22.36976506639428,161,73,88,0.453416149068323,0.546583850931677,1.2054794520547945,0.48219178082191777,1.2054794520547945,0.48219178082191777,Moderate purifying
bglK,core,8347,882,194,21.99546485260771,142,49,93,0.34507042253521125,0.6549295774647887,1.8979591836734695,0.7591836734693878,1.8979591836734695,0.7591836734693878,Near neutral
pdhD,core,8583,1407,229,16.27576403695807,198,122,76,0.6161616161616161,0.3838383838383838,0.6229508196721312,0.24918032786885247,0.6229508196721312,0.24918032786885247,Strong purifying
fetA,core,8440,663,150,22.624434389140273,109,36,73,0.3302752293577982,0.6697247706422018,2.0277777777777777,0.8111111111111111,2.0277777777777777,0.8111111111111111,Near neutral
gadC_2,core,8411,1698,1028,60.541813898704355,416,17,399,0.040865384615384616,0.9591346153846154,23.470588235294116,9.388235294117646,23.470588235294116,9.388235294117646,Relaxed/positive
tcyP,core,8597,1394,212,15.208034433285508,172,83,89,0.48255813953488375,0.5174418604651163,1.072289156626506,0.42891566265060244,1.072289156626506,0.42891566265060244,Moderate purifying
yvdM,core,8591,651,169,25.960061443932414,126,46,80,0.36507936507936506,0.6349206349206349,1.7391304347826086,0.6956521739130435,1.7391304347826086,0.6956521739130435,Moderate purifying
