site	allele	count	percent	category	is_origin	is_variant
859	A	3	0.0349	variant	False	True
859	G	8242	95.9935	origin	True	False
859	missing	341	3.9716	missing	False	False
2155	C	8246	96.0401	origin	True	False
2155	missing	340	3.9599	missing	False	False
2155	A	0	0.0	variant	False	True
3455	G	8254	96.1332	origin	True	False
3455	T	1	0.0116	variant	False	True
3455	missing	331	3.8551	missing	False	False
3568	C	8255	96.1449	origin	True	False
3568	missing	331	3.8551	missing	False	False
3568	G	0	0.0	variant	False	True
4652..4653	CT	8260	96.2031	origin	True	False
4652..4653	missing	326	3.7969	missing	False	False
4652..4653	TG	0	0.0	variant	False	True
4659	C	1	0.0116	other	False	False
4659	T	8259	96.1915	origin	True	False
4659	missing	326	3.7969	missing	False	False
4659	A	0	0.0	variant	False	True
4673	C	8246	96.0401	origin	True	False
4673	missing	340	3.9599	missing	False	False
4673	G	0	0.0	variant	False	True
7501^7502	A	26	0.3028	variant	False	True
7501^7502	absent	8560	99.6972	origin	True	False
