Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Wild Animal	152	50	3	99	32.89473684210527	1.9736842105263157	65.13157894736842
Poultry	1075	218	7	850	20.27906976744186	0.6511627906976745	79.06976744186046
Environment	304	68	0	236	22.36842105263158	0.0	77.63157894736842
Human	2599	539	27	2033	20.738745671412083	1.0388611004232395	78.22239322816468
Food	27	7	0	20	25.925925925925924	0.0	74.07407407407408
Companion Animal	67	54	3	10	80.59701492537313	4.477611940298507	14.925373134328357
Livestock	1315	251	4	1060	19.08745247148289	0.3041825095057034	80.6083650190114
Aquatic Animal	133	19	0	114	14.285714285714285	0.0	85.71428571428571
Laboratory	324	196	6	122	60.49382716049383	1.8518518518518516	37.65432098765432
Animal Feed	26	6	0	20	23.076923076923077	0.0	76.92307692307693
ND	5	5	0	0	100.0	0.0	0.0
