Country	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Brazil	40	39	0	1	97.5	0.0	2.5
United States	3658	3592	26	40	98.1957353745216	0.7107709130672498	1.0934937124111537
Netherlands	22	20	0	2	90.9090909090909	0.0	9.090909090909092
United Kingdom	538	516	13	9	95.91078066914498	2.41635687732342	1.6728624535315983
United Arab Emirates	12	12	0	0	100.0	0.0	0.0
Australia	123	117	4	2	95.1219512195122	3.2520325203252036	1.6260162601626018
Paraguay	11	11	0	0	100.0	0.0	0.0
Bulgaria	9	9	0	0	100.0	0.0	0.0
Canada	416	416	0	0	100.0	0.0	0.0
Fiji	10	9	1	0	90.0	10.0	0.0
China	78	77	0	1	98.71794871794873	0.0	1.282051282051282
Tanzania	42	36	2	4	85.71428571428571	4.761904761904762	9.523809523809524
Denmark	131	126	1	4	96.18320610687023	0.7633587786259541	3.0534351145038165
Japan	23	23	0	0	100.0	0.0	0.0
Spain	39	39	0	0	100.0	0.0	0.0
Latvia	58	52	1	5	89.65517241379311	1.7241379310344827	8.620689655172415
Switzerland	16	16	0	0	100.0	0.0	0.0
Singapore	131	131	0	0	100.0	0.0	0.0
South Korea	13	13	0	0	100.0	0.0	0.0
France	70	70	0	0	100.0	0.0	0.0
South Africa	19	19	0	0	100.0	0.0	0.0
Germany	109	109	0	0	100.0	0.0	0.0
Italy	22	22	0	0	100.0	0.0	0.0
Croatia	5	5	0	0	100.0	0.0	0.0
Nigeria	6	6	0	0	100.0	0.0	0.0
Hungary	9	9	0	0	100.0	0.0	0.0
Turkey	8	8	0	0	100.0	0.0	0.0
Austria	23	23	0	0	100.0	0.0	0.0
Belgium	86	86	0	0	100.0	0.0	0.0
Estonia	46	46	0	0	100.0	0.0	0.0
