Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Wild Animal	152	147	2	3	96.71052631578947	1.3157894736842104	1.9736842105263157
Poultry	1074	1057	10	7	98.4171322160149	0.931098696461825	0.6517690875232774
Environment	306	305	0	1	99.67320261437908	0.0	0.32679738562091504
Human	2624	2550	28	46	97.1798780487805	1.0670731707317074	1.753048780487805
Food	28	27	0	1	96.42857142857143	0.0	3.571428571428571
Companion Animal	65	62	2	1	95.38461538461539	3.076923076923077	1.5384615384615385
Livestock	1319	1300	7	12	98.55951478392721	0.530705079605762	0.9097801364670205
Aquatic Animal	133	132	0	1	99.24812030075188	0.0	0.7518796992481203
Laboratory	325	323	1	1	99.38461538461539	0.3076923076923077	0.3076923076923077
Animal Feed	26	24	2	0	92.3076923076923	7.6923076923076925	0.0
ND	5	5	0	0	100.0	0.0	0.0
