Country	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
United States	3656	3591	33	32	98.22210065645514	0.9026258205689278	0.87527352297593
Brazil	39	34	1	4	87.17948717948718	2.564102564102564	10.256410256410255
Netherlands	22	22	0	0	100.0	0.0	0.0
United Kingdom	538	525	5	8	97.58364312267658	0.929368029739777	1.486988847583643
United Arab Emirates	11	10	0	1	90.9090909090909	0.0	9.090909090909092
Australia	123	114	4	5	92.6829268292683	3.2520325203252036	4.0650406504065035
Paraguay	11	10	1	0	90.9090909090909	9.090909090909092	0.0
Bulgaria	9	9	0	0	100.0	0.0	0.0
Canada	416	416	0	0	100.0	0.0	0.0
Fiji	10	9	1	0	90.0	10.0	0.0
China	79	78	1	0	98.73417721518987	1.2658227848101267	0.0
Tanzania	43	37	2	4	86.04651162790698	4.651162790697675	9.30232558139535
Denmark	132	129	1	2	97.72727272727273	0.7575757575757576	1.5151515151515151
Japan	23	23	0	0	100.0	0.0	0.0
Spain	39	39	0	0	100.0	0.0	0.0
Latvia	57	53	3	1	92.98245614035088	5.263157894736842	1.7543859649122806
Switzerland	16	16	0	0	100.0	0.0	0.0
Singapore	131	131	0	0	100.0	0.0	0.0
South Korea	13	13	0	0	100.0	0.0	0.0
France	70	70	0	0	100.0	0.0	0.0
South Africa	19	19	0	0	100.0	0.0	0.0
Germany	109	109	0	0	100.0	0.0	0.0
Italy	22	22	0	0	100.0	0.0	0.0
Croatia	5	5	0	0	100.0	0.0	0.0
Nigeria	6	6	0	0	100.0	0.0	0.0
Hungary	9	9	0	0	100.0	0.0	0.0
Turkey	8	8	0	0	100.0	0.0	0.0
Austria	23	23	0	0	100.0	0.0	0.0
Belgium	86	86	0	0	100.0	0.0	0.0
Estonia	46	46	0	0	100.0	0.0	0.0
