Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Wild Animal	152	150	0	2	98.68421052631578	0.0	1.3157894736842104
Poultry	1076	1052	10	14	97.76951672862454	0.929368029739777	1.3011152416356877
Environment	305	305	0	0	100.0	0.0	0.0
Human	2597	2548	20	29	98.11320754716981	0.7701193685021178	1.1166730843280708
Food	27	26	1	0	96.29629629629629	3.7037037037037033	0.0
Companion Animal	66	57	4	5	86.36363636363636	6.0606060606060606	7.575757575757576
Livestock	1315	1296	8	11	98.5551330798479	0.6083650190114068	0.8365019011406843
Aquatic Animal	133	133	0	0	100.0	0.0	0.0
Laboratory	323	319	4	0	98.76160990712074	1.238390092879257	0.0
Animal Feed	26	26	0	0	100.0	0.0	0.0
ND	5	5	0	0	100.0	0.0	0.0
