Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Poultry	1076	1057	4	15	98.23420074349443	0.37174721189591076	1.3940520446096654
Wild Animal	151	145	2	4	96.02649006622516	1.3245033112582782	2.6490066225165565
Environment	304	303	0	1	99.67105263157895	0.0	0.3289473684210526
Human	2599	2529	33	37	97.30665640631013	1.269719122739515	1.4236244709503656
Food	27	27	0	0	100.0	0.0	0.0
Companion Animal	67	62	2	3	92.53731343283582	2.9850746268656714	4.477611940298507
Livestock	1316	1302	6	8	98.93617021276596	0.4559270516717325	0.60790273556231
Aquatic Animal	133	133	0	0	100.0	0.0	0.0
Laboratory	324	321	2	1	99.07407407407408	0.6172839506172839	0.30864197530864196
Animal Feed	26	25	1	0	96.15384615384616	3.8461538461538463	0.0
ND	5	5	0	0	100.0	0.0	0.0
