Country	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Brazil	40	37	3	0	92.5	7.5	0.0
United States	3689	3593	28	68	97.39766874491733	0.7590132827324478	1.8433179723502304
Netherlands	22	21	0	1	95.45454545454545	0.0	4.545454545454546
United Kingdom	543	529	4	10	97.42173112338858	0.7366482504604052	1.841620626151013
United Arab Emirates	15	14	1	0	93.33333333333333	6.666666666666667	0.0
Australia	126	118	0	8	93.65079365079364	0.0	6.349206349206349
Paraguay	11	9	0	2	81.81818181818183	0.0	18.181818181818183
Bulgaria	9	8	0	1	88.88888888888889	0.0	11.11111111111111
Canada	419	419	0	0	100.0	0.0	0.0
Fiji	10	9	0	1	90.0	0.0	10.0
China	78	77	1	0	98.71794871794873	1.282051282051282	0.0
Tanzania	42	32	5	5	76.19047619047619	11.904761904761903	11.904761904761903
Denmark	133	128	2	3	96.2406015037594	1.5037593984962405	2.2556390977443606
Japan	23	23	0	0	100.0	0.0	0.0
Spain	39	39	0	0	100.0	0.0	0.0
Latvia	58	48	5	5	82.75862068965517	8.620689655172415	8.620689655172415
Switzerland	16	16	0	0	100.0	0.0	0.0
Singapore	131	131	0	0	100.0	0.0	0.0
South Korea	13	13	0	0	100.0	0.0	0.0
France	80	80	0	0	100.0	0.0	0.0
South Africa	19	19	0	0	100.0	0.0	0.0
Germany	109	109	0	0	100.0	0.0	0.0
Italy	24	24	0	0	100.0	0.0	0.0
Croatia	5	5	0	0	100.0	0.0	0.0
Nigeria	6	6	0	0	100.0	0.0	0.0
Hungary	9	9	0	0	100.0	0.0	0.0
Turkey	8	8	0	0	100.0	0.0	0.0
Austria	23	23	0	0	100.0	0.0	0.0
Belgium	86	86	0	0	100.0	0.0	0.0
Estonia	47	47	0	0	100.0	0.0	0.0
