Country	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Brazil	40	18	1	21	45.0	2.5	52.5
United States	3655	760	26	2869	20.79343365253078	0.7113543091655267	78.49521203830369
Netherlands	22	17	2	3	77.27272727272727	9.090909090909092	13.636363636363635
United Kingdom	539	100	11	428	18.552875695732837	2.0408163265306123	79.40630797773655
United Arab Emirates	12	3	0	9	25.0	0.0	75.0
Australia	123	51	0	72	41.46341463414634	0.0	58.536585365853654
Paraguay	11	4	0	7	36.36363636363637	0.0	63.63636363636363
Bulgaria	9	2	0	7	22.22222222222222	0.0	77.77777777777779
Canada	416	47	0	369	11.298076923076923	0.0	88.70192307692307
Fiji	10	10	0	0	100.0	0.0	0.0
China	78	27	0	51	34.61538461538461	0.0	65.38461538461539
Tanzania	42	36	5	1	85.71428571428571	11.904761904761903	2.380952380952381
Denmark	132	43	3	86	32.57575757575758	2.272727272727273	65.15151515151516
Japan	23	3	0	20	13.043478260869565	0.0	86.95652173913044
Spain	39	8	0	31	20.51282051282051	0.0	79.48717948717949
Latvia	58	40	2	16	68.96551724137932	3.4482758620689653	27.586206896551722
Switzerland	16	2	0	14	12.5	0.0	87.5
Singapore	131	129	0	2	98.47328244274809	0.0	1.5267175572519083
South Korea	13	0	0	13	0.0	0.0	100.0
France	70	28	0	42	40.0	0.0	60.0
South Africa	19	3	0	16	15.789473684210526	0.0	84.21052631578947
Germany	109	23	0	86	21.100917431192663	0.0	78.89908256880734
Italy	22	4	0	18	18.181818181818183	0.0	81.81818181818183
Croatia	5	0	0	5	0.0	0.0	100.0
Nigeria	6	0	0	6	0.0	0.0	100.0
Hungary	9	0	0	9	0.0	0.0	100.0
Turkey	8	0	0	8	0.0	0.0	100.0
Austria	23	2	0	21	8.695652173913043	0.0	91.30434782608695
Belgium	86	11	0	75	12.790697674418606	0.0	87.20930232558139
Estonia	46	3	0	43	6.521739130434782	0.0	93.47826086956522
