Country	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Brazil	41	37	2	2	90.2439024390244	4.878048780487805	4.878048780487805
United States	3655	3600	31	24	98.49521203830369	0.8481532147742818	0.6566347469220246
Netherlands	22	19	2	1	86.36363636363636	9.090909090909092	4.545454545454546
United Kingdom	538	527	4	7	97.95539033457248	0.7434944237918215	1.3011152416356877
United Arab Emirates	12	12	0	0	100.0	0.0	0.0
Australia	122	115	6	1	94.26229508196722	4.918032786885246	0.819672131147541
Paraguay	11	11	0	0	100.0	0.0	0.0
Bulgaria	9	9	0	0	100.0	0.0	0.0
Canada	416	415	1	0	99.75961538461539	0.2403846153846154	0.0
Fiji	10	8	2	0	80.0	20.0	0.0
China	79	78	0	1	98.73417721518987	0.0	1.2658227848101267
Tanzania	42	37	1	4	88.09523809523809	2.380952380952381	9.523809523809524
Denmark	132	127	2	3	96.21212121212122	1.5151515151515151	2.272727272727273
Japan	23	23	0	0	100.0	0.0	0.0
Spain	39	39	0	0	100.0	0.0	0.0
Latvia	58	48	4	6	82.75862068965517	6.896551724137931	10.344827586206897
Switzerland	16	16	0	0	100.0	0.0	0.0
Singapore	131	131	0	0	100.0	0.0	0.0
South Korea	13	13	0	0	100.0	0.0	0.0
France	70	70	0	0	100.0	0.0	0.0
South Africa	19	19	0	0	100.0	0.0	0.0
Germany	109	109	0	0	100.0	0.0	0.0
Italy	22	22	0	0	100.0	0.0	0.0
Croatia	5	5	0	0	100.0	0.0	0.0
Nigeria	6	6	0	0	100.0	0.0	0.0
Hungary	9	9	0	0	100.0	0.0	0.0
Turkey	8	8	0	0	100.0	0.0	0.0
Austria	23	23	0	0	100.0	0.0	0.0
Belgium	86	86	0	0	100.0	0.0	0.0
Estonia	46	46	0	0	100.0	0.0	0.0
