Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Wild Animal	152	149	1	2	98.02631578947368	0.6578947368421052	1.3157894736842104
Poultry	1076	1054	12	10	97.95539033457248	1.1152416356877324	0.929368029739777
Human	2607	2547	30	30	97.69850402761794	1.1507479861910241	1.1507479861910241
Food	26	25	0	1	96.15384615384616	0.0	3.8461538461538463
Companion Animal	67	61	5	1	91.04477611940298	7.462686567164178	1.4925373134328357
Livestock	1317	1305	6	6	99.08883826879271	0.45558086560364464	0.45558086560364464
Environment	302	297	1	4	98.34437086092716	0.33112582781456956	1.3245033112582782
Aquatic Animal	133	133	0	0	100.0	0.0	0.0
Laboratory	324	313	6	5	96.60493827160494	1.8518518518518516	1.5432098765432098
Animal Feed	26	26	0	0	100.0	0.0	0.0
ND	5	2	2	1	40.0	40.0	20.0
