Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Wild Animal	154	146	3	5	94.8051948051948	1.948051948051948	3.2467532467532463
Poultry	1092	1061	9	22	97.16117216117216	0.8241758241758242	2.0146520146520146
Environment	305	299	3	3	98.0327868852459	0.9836065573770493	0.9836065573770493
Human	2631	2555	23	53	97.11136450019005	0.8741923223109084	2.0144431774990497
Food	31	30	1	0	96.7741935483871	3.225806451612903	0.0
Companion Animal	69	59	3	7	85.5072463768116	4.3478260869565215	10.144927536231885
Livestock	1322	1306	6	10	98.78971255673223	0.45385779122541603	0.7564296520423601
Aquatic Animal	134	133	0	1	99.25373134328358	0.0	0.7462686567164178
Laboratory	323	314	2	7	97.21362229102168	0.6191950464396285	2.1671826625387
Animal Feed	27	26	1	0	96.29629629629629	3.7037037037037033	0.0
ND	5	4	0	1	80.0	0.0	20.0
