Source Niche	Total	ATG	GTG	TTG	ATG%	GTG%	TTG%
Poultry	1076	1059	12	5	98.42007434944237	1.1152416356877324	0.4646840148698885
Wild Animal	153	146	2	5	95.42483660130719	1.3071895424836601	3.2679738562091507
Environment	305	300	3	2	98.36065573770492	0.9836065573770493	0.6557377049180327
Human	2596	2537	27	32	97.72727272727273	1.0400616332819723	1.2326656394453006
Food	27	27	0	0	100.0	0.0	0.0
Companion Animal	67	58	2	7	86.56716417910447	2.9850746268656714	10.44776119402985
Livestock	1316	1310	5	1	99.54407294832826	0.3799392097264438	0.07598784194528875
Aquatic Animal	133	132	1	0	99.24812030075188	0.7518796992481203	0.0
Laboratory	324	319	3	2	98.4567901234568	0.9259259259259258	0.6172839506172839
Animal Feed	26	25	1	0	96.15384615384616	3.8461538461538463	0.0
ND	5	5	0	0	100.0	0.0	0.0
